R_m,f0_Hz,f0_times_R_Hz_m,normalized_response
0.03,1823314.6153274064,54699.43845982219,0.6914974072055281
0.03,1835440.4250508002,55063.212751524006,0.6893743350384726
0.03,1847646.876513262,55429.40629539786,0.6872560252613115
0.03,1859934.506016303,55798.03518048909,0.6851428105259707
0.03,1872303.8534280653,56169.11560284196,0.6830350202516507
0.03,1884755.4622070412,56542.66386621123,0.6809329801833902
0.03,1897289.8794259513,56918.69638277854,0.6788370119405044
0.03,1909907.655795779,57297.22967387337,0.6767474325552628
0.03,1922609.3456899691,57678.280370699074,0.6746645540022009
0.03,1935395.5071687817,58061.86521506345,0.6725886827185135
0.03,1948266.7020038136,58448.0010601144,0.670520119116014
0.03,1961223.4957026783,58836.70487108035,0.6684591570851919
0.03,1974266.457533854,59227.99372601562,0.6664060834919547
0.03,1987396.1605516933,59621.884816550795,0.6643611776676729
0.03,2000613.181621601,60018.39544864803,0.6623247108932164
0.03,2013918.101445381,60417.54304336143,0.6602969458777057
0.03,2027311.5045867474,60819.34513760242,0.6582781362327637
0.03,2040793.9794970097,61223.81938491029,0.6562685259431047
0.03,2054366.1185409261,61630.98355622778,0.6542683488343486
0.03,2068028.51802273,62040.8555406819,0.6522778280390128
0.03,2081781.7782123287,62453.45334636986,0.6502971754616829
0.03,2095626.5033716774,62868.79510115032,0.64832659124442
0.03,2109563.301781327,63286.89905343981,0.6463662632335362
0.03,2123592.785767151,63707.78357301453,0.6444163664488999
0.03,2137715.5717272474,64131.46715181742,0.6424770625570292
0.03,2151932.280159021,64557.968404770625,0.6405484993492506
0.03,2166243.535686445,64987.306070593346,0.6386308102262938
0.03,2180649.967087506,65419.49901262517,0.636724113690728
0.03,2195152.2073218278,65854.56621965484,0.6348285128487235
0.03,2209750.893558483,66292.5268067545,0.6329440949226582
0.03,2224446.6672039866,66733.40001611959,0.6310709307761692
0.03,2239240.1739304718,67177.20521791415,0.6292090744532834
0.03,2254132.0637040776,67623.96191112233,0.6273585627333328
0.03,2269122.990813478,68073.68972440434,0.6255194147034024
0.03,2284213.613898645,68526.40841695936,0.6236916313501094
0.03,2299404.595979786,68982.13787939357,0.6218751951725625
0.03,2314696.60448647,69440.8981345941,0.6200700698183976
